Function: sub_401000, Start Address: .text:00401000, End Address: .text:0040100D
Function: sub_401010, Start Address: .text:00401010, End Address: .text:0040102F
Function: vec3_normalization, Start Address: .text:00401030, End Address: .text:0040106D
Function: vec3_euclidean_distance, Start Address: .text:00401070, End Address: .text:0040109F
Function: sub_4010A0, Start Address: .text:004010A0, End Address: .text:004010D0
Function: Action::wrap_purecall_0, Start Address: .text:004010D0, End Address: .text:004010D4
Function: sub_4010E0, Start Address: .text:004010E0, End Address: .text:004010FF
Function: sub_401100, Start Address: .text:00401100, End Address: .text:00401127
Function: sub_401130, Start Address: .text:00401130, End Address: .text:00401145
Function: sub_401150, Start Address: .text:00401150, End Address: .text:00401197
Function: sub_4011A0, Start Address: .text:004011A0, End Address: .text:004011A7
Function: sub_4011B0, Start Address: .text:004011B0, End Address: .text:004011C5
Function: GameActionAttack::OnCreate, Start Address: .text:004011D0, End Address: .text:0040123E
Function: sub_401240, Start Address: .text:00401240, End Address: .text:0040127D
Function: sub_401280, Start Address: .text:00401280, End Address: .text:004012BE
Function: sub_4012C0, Start Address: .text:004012C0, End Address: .text:004012D5
Function: sub_4012E0, Start Address: .text:004012E0, End Address: .text:00401409
Function: sub_401410, Start Address: .text:00401410, End Address: .text:00401440
Function: unknown_libname_1, Start Address: .text:00401440, End Address: .text:0040144E
Function: unknown_libname_2, Start Address: .text:00401450, End Address: .text:0040145B
Function: sub_401460, Start Address: .text:00401460, End Address: .text:00401465
Function: sub_401470, Start Address: .text:00401470, End Address: .text:0040148D
Function: sub_401490, Start Address: .text:00401490, End Address: .text:004014AF
Function: sub_4014B0, Start Address: .text:004014B0, End Address: .text:004014E3
Function: sub_4014F0, Start Address: .text:004014F0, End Address: .text:0040150F
Function: sub_401510, Start Address: .text:00401510, End Address: .text:0040162D
Function: constructor?_401630, Start Address: .text:00401630, End Address: .text:00401687
Function: constructor?_401690, Start Address: .text:00401690, End Address: .text:004016AA
Function: sub_4016B0, Start Address: .text:004016B0, End Address: .text:004016CE
Function: sub_4016D0, Start Address: .text:004016D0, End Address: .text:00401702
Function: unknown_libname_3, Start Address: .text:00401710, End Address: .text:0040171E
Function: sub_401720, Start Address: .text:00401720, End Address: .text:0040178E
Function: sub_401790, Start Address: .text:00401790, End Address: .text:004017C2
Function: sub_4017D0, Start Address: .text:004017D0, End Address: .text:00401889
Function: sub_401890, Start Address: .text:00401890, End Address: .text:004018D6
Function: sub_4018E0, Start Address: .text:004018E0, End Address: .text:004018F3
Function: sub_401900, Start Address: .text:00401900, End Address: .text:00401935
Function: sub_401940, Start Address: .text:00401940, End Address: .text:00401A01
Function: sub_401A10, Start Address: .text:00401A10, End Address: .text:00401A34
Function: sub_401A40, Start Address: .text:00401A40, End Address: .text:00401AF5
Function: sub_401B00, Start Address: .text:00401B00, End Address: .text:00401B16
Function: sub_401B20, Start Address: .text:00401B20, End Address: .text:00401BC6
Function: sub_401BD0, Start Address: .text:00401BD0, End Address: .text:00401C6F
Function: sub_401C70, Start Address: .text:00401C70, End Address: .text:00401C95
Function: sub_401CA0, Start Address: .text:00401CA0, End Address: .text:00401CFF
Function: sub_401D00, Start Address: .text:00401D00, End Address: .text:00401D1E
Function: sub_401D20, Start Address: .text:00401D20, End Address: .text:00401D59
Function: sub_401D60, Start Address: .text:00401D60, End Address: .text:00401D8A
Function: sub_401DD0, Start Address: .text:00401DD0, End Address: .text:00401E7B
Function: sub_401E80, Start Address: .text:00401E80, End Address: .text:00401EE5
Function: sub_401EF0, Start Address: .text:00401EF0, End Address: .text:00401F9B
Function: sub_401FA0, Start Address: .text:00401FA0, End Address: .text:0040201A
Function: sub_402020, Start Address: .text:00402020, End Address: .text:0040205D
Function: GameActionAttack::sub_402080, Start Address: .text:00402080, End Address: .text:004021A1
